gene1,gene2
A1CF,HOOK2
A1CF,RBMXL2
A1CF,SYP
A2M,C3AR1
A2M,C5AR1
A2M,QTRT2
A4GALT,A4GNT
A4GNT,A4GALT
AAK1,BMP2K
AATK,LORICRIN
ABCA1,ABCA12
ABCA1,ABCA2
ABCA1,ABCA3
ABCA1,ABCA4
ABCA1,ABCA5
ABCA1,ABCA6
ABCA1,ABCA7
ABCA1,ABCA8
ABCA12,ABCA1
ABCA12,ABCA2
ABCA12,ABCA3
ABCA12,ABCA4
ABCA12,ABCA5
ABCA12,ABCA6
ABCA12,ABCA7
ABCA12,ABCA8
ABCA2,ABCA1
ABCA2,ABCA12
ABCA2,ABCA3
ABCA2,ABCA4
ABCA2,ABCA5
ABCA2,ABCA6
ABCA2,ABCA7
ABCA2,ABCA8
ABCA3,ABCA1
ABCA3,ABCA12
ABCA3,ABCA2
ABCA3,ABCA4
ABCA3,ABCA5
ABCA3,ABCA6
ABCA3,ABCA7
ABCA3,ABCA8
ABCA4,ABCA1
ABCA4,ABCA12
ABCA4,ABCA2
ABCA4,ABCA3
ABCA4,ABCA5
ABCA4,ABCA6
ABCA4,ABCA7
ABCA4,ABCA8
ABCA5,ABCA1
ABCA5,ABCA12
ABCA5,ABCA2
ABCA5,ABCA3
ABCA5,ABCA4
ABCA5,ABCA6
ABCA5,ABCA7
ABCA5,ABCA8
ABCA6,ABCA1
ABCA6,ABCA12
ABCA6,ABCA2
ABCA6,ABCA3
ABCA6,ABCA4
ABCA6,ABCA5
ABCA6,ABCA7
ABCA6,ABCA8
ABCA7,ABCA1
ABCA7,ABCA12
ABCA7,ABCA2
ABCA7,ABCA3
ABCA7,ABCA4
ABCA7,ABCA5
ABCA7,ABCA6
ABCA7,ABCA8
ABCA8,ABCA1
ABCA8,ABCA12
ABCA8,ABCA2
ABCA8,ABCA3
ABCA8,ABCA4
ABCA8,ABCA5
ABCA8,ABCA6
ABCA8,ABCA7
ABCB1,ABCB11
ABCB1,ABCB4
ABCB11,ABCB1
ABCB11,ABCB4
ABCB4,ABCB1
ABCB4,ABCB11
ABCB5,ABCB6
ABCB6,ABCB5
ABCB7,ABCB8
ABCB7,TAS2R13
ABCB7,TAS2R14
ABCB8,ABCB7
ABCB8,TAS2R13
ABCB8,TAS2R14
ABCB9,ABCC10
ABCB9,ABCC2
ABCB9,ABCC3
ABCB9,ABCC4
ABCB9,ABCC5
ABCB9,ABCC6
ABCB9,ABCC8
ABCC10,ABCB9
ABCC10,ABCC2
ABCC10,ABCC3
ABCC10,ABCC4
ABCC10,ABCC5
ABCC10,ABCC6
ABCC10,ABCC8
ABCC2,ABCB9
ABCC2,ABCC10
ABCC2,ABCC3
ABCC2,ABCC4
ABCC2,ABCC5
ABCC2,ABCC6
ABCC2,ABCC8
ABCC3,ABCB9
ABCC3,ABCC10
ABCC3,ABCC2
ABCC3,ABCC4
ABCC3,ABCC5
ABCC3,ABCC6
ABCC3,ABCC8
ABCC4,ABCB9
ABCC4,ABCC10
ABCC4,ABCC2
ABCC4,ABCC3
ABCC4,ABCC5
ABCC4,ABCC6
ABCC4,ABCC8
ABCC5,ABCB9
ABCC5,ABCC10
ABCC5,ABCC2
ABCC5,ABCC3
ABCC5,ABCC4
ABCC5,ABCC6
ABCC5,ABCC8
ABCC6,ABCB9
ABCC6,ABCC10
ABCC6,ABCC2
ABCC6,ABCC3
ABCC6,ABCC4
ABCC6,ABCC5
ABCC6,ABCC8
ABCC8,ABCB9
ABCC8,ABCC10
ABCC8,ABCC2
ABCC8,ABCC3
ABCC8,ABCC4
ABCC8,ABCC5
ABCC8,ABCC6
ABCC9,ABCD1
ABCC9,ABCD2
ABCC9,ABCD3
ABCD1,ABCC9
ABCD1,ABCD2
ABCD1,ABCD3
ABCD2,ABCC9
ABCD2,ABCD1
ABCD2,ABCD3
ABCD3,ABCC9
ABCD3,ABCD1
ABCD3,ABCD2
ABCE1,ABCF2
ABCF2,ABCE1
ABCF3,ABCG1
ABCF3,ABCG2
ABCG1,ABCF3
ABCG1,ABCG2
ABCG2,ABCF3
ABCG2,ABCG1
ABCG4,ABCG5
ABCG5,ABCG4
ABHD14A,ABHD17A
ABHD17A,ABHD14A
ABHD18,ABHD2
ABHD2,ABHD18
ABHD3,ABHD4
ABHD4,ABHD3
ABHD8,ABI1
ABI1,ABHD8
ABITRAM,ABL1
ABITRAM,BMX
ABITRAM,BTK
ABITRAM,CSN1S1
ABITRAM,FERMT1
ABITRAM,FEV
ABITRAM,ITPKC
ABITRAM,MBD3
ABITRAM,TENT5A
ABITRAM,TXNRD2
ABL1,ABITRAM
ABL1,BMX
ABL1,BTK
ABL1,CSN1S1
ABL1,FERMT1
ABL1,FEV
ABL1,ITPKC
ABL1,MBD3
ABL1,TENT5A
ABL1,TXNRD2
ABL2,ABLIM1
ABL2,DMTN
ABLIM1,ABL2
ABLIM1,DMTN
ABLIM3,GBX2
ABO,BCR
ABO,CHN2
ABO,CHODL
ACAA1,ACAP2
ACAA1,ACAT1
ACAA1,HAL
ACAA2,ACACA
ACACA,ACAA2
ACAD10,ACAD8
ACAD10,ACADL
ACAD10,ACADM
ACAD10,ACADS
ACAD10,ACADSB
ACAD10,GCH1
ACAD10,JAG2
ACAD8,ACAD10
ACAD8,ACADL
ACAD8,ACADM
ACAD8,ACADS
ACAD8,ACADSB
ACAD8,GCH1
ACAD8,JAG2
ACADL,ACAD10
ACADL,ACAD8
ACADL,ACADM
ACADL,ACADS
ACADL,ACADSB
ACADL,GCH1
ACADL,JAG2
ACADM,ACAD10
ACADM,ACAD8
ACADM,ACADL
ACADM,ACADS
ACADM,ACADSB
ACADM,GCH1
ACADM,JAG2
ACADS,ACAD10
ACADS,ACAD8
ACADS,ACADL
ACADS,ACADM
ACADS,ACADSB
ACADS,GCH1
ACADS,JAG2
ACADSB,ACAD10
ACADSB,ACAD8
ACADSB,ACADL
ACADSB,ACADM
ACADSB,ACADS
ACADSB,GCH1
ACADSB,JAG2
ACADVL,BBX
ACADVL,HARS
ACADVL,HARS1
ACADVL,NCKIPSD
ACADVL,TNFRSF18
ACADVL,VEGFC
ACAN,ACAP1
ACAN,AFP
ACAN,AFTPH
ACAN,ARX
ACAN,ASAH1
ACAN,ASAP1
ACAP1,ACAN
ACAP1,AFP
ACAP1,AFTPH
ACAP1,ARX
ACAP1,ASAH1
ACAP1,ASAP1
ACAP2,ACAA1
ACAP2,ACAT1
ACAP2,HAL
ACAT1,ACAA1
ACAT1,ACAP2
ACAT1,HAL
ACBD3,DBN1
ACD,ACE
ACE,ACD
ACE2,BCCIP
ACE2,CES1P1
ACE2,CES3
ACE2,CETN1
ACE2,NME7
ACE2,NME8
ACE2,NME9
ACE2,NMI
ACKR1,CCR1
ACKR1,CCR2
ACKR1,CCR3
ACKR1,CCR4
ACKR1,CCR5
ACKR1,CCR8
ACKR1,CCRL2
ACKR1,CXADR
ACKR1,XPO6
ACKR2,AGRP
ACKR2,AGT
ACKR2,API5
ACKR2,BDKRB1
ACKR2,BDKRB2
ACKR2,GPR150
ACKR2,GPR20
ACKR2,GPR31
ACKR2,S100A10
ACKR3,CCR10
ACKR3,CCR6
ACKR3,CCR7
ACKR3,CCR9
ACKR3,CXCR2
ACKR3,CXCR3
ACKR3,CXCR4
ACKR3,CXCR5
ACKR3,CXCR6
ACKR3,CXCR7
ACKR4,SULT1E1
ACLY,ACO1
ACLY,IRF7
ACO1,ACLY
ACO1,IRF7
ACOT9,ACOX1
ACOT9,ACOX2
ACOT9,ACOX3
ACOX1,ACOT9
ACOX1,ACOX2
ACOX1,ACOX3
ACOX2,ACOT9
ACOX2,ACOX1
ACOX2,ACOX3
ACOX3,ACOT9
ACOX3,ACOX1
ACOX3,ACOX2
ACP1,ACP2
ACP1,ACP5
ACP2,ACP1
ACP2,ACP5
ACP5,ACP1
ACP5,ACP2
ACP6,PSEN1
ACP6,TMX1
ACP6,TMX2
ACRV1,ACSBG1
ACRV1,ACSF2
ACRV1,ACSL4
ACRV1,ACSL5
ACSBG1,ACRV1
ACSBG1,ACSF2
ACSBG1,ACSL4
ACSBG1,ACSL5
ACSF2,ACRV1
ACSF2,ACSBG1
ACSF2,ACSL4
ACSF2,ACSL5
ACSL1,ACSL3
ACSL3,ACSL1
ACSL4,ACRV1
ACSL4,ACSBG1
ACSL4,ACSF2
ACSL4,ACSL5
ACSL5,ACRV1
ACSL5,ACSBG1
ACSL5,ACSF2
ACSL5,ACSL4
ACSL6,ACSM1
ACSL6,ACSM3
ACSM1,ACSL6
ACSM1,ACSM3
ACSM3,ACSL6
ACSM3,ACSM1
ACSS3,ACTA2
ACSS3,ACTB
ACSS3,ACTL6B
ACSS3,ACTL7A
ACSS3,ACTR10
ACSS3,ACTR1A
ACTA1,ACTC1
ACTA2,ACSS3
ACTA2,ACTB
ACTA2,ACTL6B
ACTA2,ACTL7A
ACTA2,ACTR10
ACTA2,ACTR1A
ACTB,ACSS3
ACTB,ACTA2
ACTB,ACTL6B
