gene1,gene2,weight
A4GALT,ZMIZ2,3.8326183074775053
AANAT,ZMIZ2,4.827780968495723
AASS,ZMIZ2,4.999750505996886
ABCC4,TBP,4.268118456570978
ABCC5,ATG12,5.133391543664843
ABCC5,CBS,5.439134983671165
ABCC5,CD46,5.840241262979894
ABCC5,CIT,4.8908590336082485
ABCC5,CLPB,3.0197521376166208
ABCC5,CYP1B1,5.354097382547932
ABCC5,DHRS2,5.86674832939445
ABCC5,ESD,5.284026881762058
ABCC5,GABBR2,5.7850191469803685
ABCC5,GDI1,5.750550599380016
ABCC5,HCAR1,4.745954808576623
ABCC5,MAD2L1BP,4.7659195971310515
ABCC5,MAOB,4.1053095599158995
ABCC5,NUDT14,3.6419523662872852
ABCC5,PCK1,4.589144531273066
ABCC5,POLR2H,5.295421684269055
ABCC5,PRKD2,3.513781779600995
ABCC5,PSMD9,5.450779449628524
ABCC5,SRD5A1,3.002748185054888
ABCC5,TBP,4.315279483343034
ABCC5,UBAP2L,5.884046868062402
ABCC5,ZMIZ2,5.409148603186416
ABCC5,ZSCAN1,3.661425174933102
ABCC9,ZMIZ2,4.111169427351365
ABHD14A,TP53RK,3.9861476350213465
ABHD6,CRYZ,3.890559240461691
ABHD6,POLR2E,5.748365358527936
ABHD6,POP4,4.947075467924746
ABHD6,PREB,4.111569276260482
ABHD6,TNIP1,5.8034613189878455
ABHD6,ZNF138,3.2502672062665954
ABI3BP,PRKDC,4.8273286515942635
ABI3BP,ZMIZ2,4.3951263907890805
ACACB,ZMIZ2,3.2453269074392406
ACACB,ZNF138,5.9886375865932635
ACAD8,NCOR2,5.9721425516732065
ACBD3,ZNF138,5.015959913603978
ACBD4,TP53RK,5.771978567273106
ACE2,UBAP2L,5.706924036133901
ACRV1,ZMIZ2,4.973667771050968
ACSM5,CBS,3.743209755110123
ACSM5,ZMIZ2,3.6216167442960847
ADAM10,PET112,4.548410441118392
ADAM10,UBTF,5.920260819019777
ADAM10,WNT7B,4.674098731566797
ADAM10,ZNF266,3.0773344285428106
ADAM10,ZNF658,3.6186586134475465
ADAM20,NCOR2,5.40193942628507
ADAM28,ZMIZ2,3.08176042924883
ADAM30,TSTA3,5.430229911545877
ADAM5,ZMIZ2,5.037459184582463
ADAMTS9,ZMIZ2,5.2128968335659
ADAMTSL4,TP53RK,5.0120361950325965
ADARB2,NCOR2,3.8428583356631596
ADAT1,PRKDC,3.1403622176478345
ADCYAP1R1,NCOR2,5.2906357928034495
ADGRB1,ZMIZ2,5.2254039172317714
ADGRE1,BIRC6,5.973466867336883
ADGRE1,CAPG,5.032825781703309
ADGRE1,CTSK,4.759473196320572
ADGRE1,CXCL1,3.3083447862774658
ADGRE1,HCAR1,5.532148625225996
ADGRE1,HIC2,5.243772722300505
ADGRE1,KCNQ1,4.82400110133158
ADGRE1,KLF2,5.492294878044663
ADGRE1,OTX1,5.099392433631267
ADGRE1,SNAPC1,5.795471631405256
ADGRE1,SPRY1,4.116101581413631
ADGRE1,SRD5A1,4.467964517088707
ADGRE1,TRIM29,4.0753401401221625
ADGRE1,TRPS1,3.6606249076706066
ADGRE1,VCAN,3.6610729128948467
ADGRE1,WARS2,3.1747377676743977
ADGRE5,ASNA1,4.236700937362778
ADGRE5,GNAQ,4.366415524861763
ADGRE5,RGS18,4.224551601388425
ADGRE5,ULK3,3.8623621698486943
ADGRF1,ZMIZ2,5.4262607961823495
ADGRG3,ZMIZ2,3.5780444826578717
ADO,ALDH3A1,4.344917640419466
ADO,CTSK,3.0665983846832408
ADO,GK,4.570170209546191
ADO,GPR78,5.712404509074907
ADO,MCM7,4.517697435220487
ADO,NFAT5,3.4902058901181103
