gene1,gene2
A1CF,ANK1
A1CF,CFHR4
A1CF,CLASP1
A1CF,COL3A1
A1CF,EGFR
A1CF,GABRA5
A1CF,GRIK5
A1CF,MGAM
A1CF,MYH2
A1CF,PIWIL1
A1CF,PTPRS
A1CF,ROCK1
A1CF,SATB2
A1CF,SMARCA2
A1CF,TP53
A1CF,TRO
A1CF,WIPF1
A1CF,ZFPM2
A2M,AHNAK2
A2M,FAM13C
A2M,MPDZ
A2M,RALGAPB
A2M,SORL1
A4GNT,OTOF
AAAS,EGFR
AAAS,NEB
AACS,AKAP6
AACS,ITPR2
AACS,LTBP1
AACS,PCDHA9
AACS,PCDHB12
AACS,SVEP1
AADAC,HYDIN
AAK1,AHNAK2
AAR2,EGFR
AAR2,KRAS
AARS,EGFR
AASS,ATP2B2
AASS,CNOT1
AASS,MYH4
AASS,MYH6
AASS,PHF3
AASS,S1PR1
AASS,SLC12A5
AASS,TBX3
ABAT,ADCY2
ABAT,MXRA5
ABAT,PCLO
ABCA1,BCHE
ABCA1,EGFR
ABCA1,MYH11
ABCA1,MYH9
ABCA1,NINL
ABCA1,PCDHA5
ABCA1,PLEKHA6
ABCA1,PTK7
ABCA1,RBM10
ABCA1,SIGLEC6
ABCA1,THBS2
ABCA1,VGLL3
ABCA11P,DNAH3
ABCA12,ACVR1B
ABCA12,ARHGEF28
ABCA12,ARMC9
ABCA12,ATM
ABCA12,ATP11A
ABCA12,ATP2A1
ABCA12,BTN3A1
ABCA12,CCIN
ABCA12,DDC
ABCA12,DDR2
ABCA12,DPP4
ABCA12,EGFR
ABCA12,ESR1
ABCA12,FAM13A
ABCA12,FCGBP
ABCA12,GAS2
ABCA12,GOLGA2
ABCA12,GPR156
ABCA12,GPR174
ABCA12,GRAMD4
ABCA12,HTT
ABCA12,IL1RAPL1
ABCA12,IQSEC3
ABCA12,KDM3A
ABCA12,LAMC3
ABCA12,LIG3
ABCA12,LTBP1
ABCA12,MAD1L1
ABCA12,MAP3K5
ABCA12,MUC2
ABCA12,NACA
ABCA12,NINL
ABCA12,OR7A17
ABCA12,OXCT1
ABCA12,PARP1
ABCA12,PDIA5
ABCA12,PIK3CD
ABCA12,POLQ
ABCA12,PPL
ABCA12,RAD50
ABCA12,RBL1
ABCA12,RBM10
ABCA12,RNF10
ABCA12,RXRB
ABCA12,SCAPER
ABCA12,SCN10A
ABCA12,SFTPB
ABCA12,SHC4
ABCA12,SLC34A2
ABCA12,SLC5A1
ABCA12,SLC5A4
ABCA12,TRPM4
ABCA12,URB2
ABCA12,WWC1
ABCA2,AHNAK2
ABCA2,AMPH
ABCA2,ANKRD12
ABCA2,ARHGAP5
ABCA2,ATP9A
ABCA2,CCDC88A
ABCA2,EGFR
ABCA2,FAM13C
ABCA2,GRAMD1B
ABCA2,KEAP1
ABCA2,MEGF8
ABCA2,MIA3
ABCA2,RNF17
ABCA2,SLC4A10
ABCA2,SMAD4
ABCA2,UTP20
ABCA3,ABCC2
ABCA3,AHNAK2
ABCA3,ANKRD26
ABCA3,BCHE
ABCA3,BNC2
ABCA3,CACNA1G
ABCA3,CADPS
ABCA3,CDH7
ABCA3,CEP164
ABCA3,CHD5
ABCA3,CHGB
ABCA3,CYP11B2
ABCA3,DOCK3
ABCA3,DPYS
ABCA3,EGFR
ABCA3,F8
ABCA3,FLG
ABCA3,GABRA6
ABCA3,GLI2
ABCA3,GRIA2
ABCA3,GRIN2B
ABCA3,IL1RAPL2
ABCA3,ITIH2
ABCA3,KALRN
ABCA3,KCNG1
ABCA3,KEAP1
ABCA3,LRP1B
ABCA3,MYH4
ABCA3,NAALAD2
ABCA3,NF1
ABCA3,NFASC
ABCA3,NTM
ABCA3,NTRK2
ABCA3,PDE4B
ABCA3,PHF3
ABCA3,PIWIL1
ABCA3,SLC12A5
ABCA3,SPEG
ABCA3,TRPV6
ABCA3,XDH
ABCA3,ZNF638
ABCA4,ADAMTS7
ABCA4,ATM
ABCA4,BTAF1
ABCA4,COL7A1
ABCA4,EGFR
ABCA4,GJA8
ABCA4,LILRA4
ABCA4,PCDHB12
ABCA4,SEC23IP
ABCA4,SPAM1
ABCA4,URB2
ABCA4,USH1C
ABCA4,ZFHX3
ABCA4,ZNF462
ABCA5,AASS
ABCA5,ARHGEF17
ABCA5,EGFR
ABCA5,ERBB2
ABCA5,GLI1
ABCA5,URB2
ABCA6,ALOX5
ABCA6,ARHGAP6
ABCA6,ATM
ABCA6,BTN3A2
ABCA6,DNMT3B
ABCA6,EGFR
ABCA6,FAM131B
ABCA6,GABRA5
ABCA6,GC
ABCA6,LONRF3
ABCA6,MBD1
ABCA6,MYO1F
ABCA6,MYOF
ABCA6,NACA
ABCA6,NF1
ABCA6,PDZD2
ABCA6,PHLPP2
ABCA6,RPH3A
ABCA6,RPS6KA6
ABCA6,SEC24C
ABCA6,SHROOM2
ABCA6,USP24
ABCA6,ZNF862
ABCA7,ARHGAP32
ABCA7,ASPM
ABCA7,CACNA1I
ABCA7,CD93
ABCA7,CFHR4
ABCA7,EGFR
ABCA7,GABRA6
ABCA7,GRIA1
ABCA7,IKZF1
ABCA7,KCND2
ABCA7,KEAP1
ABCA7,NRXN3
ABCA7,PCDHB3
ABCA7,PDE1A
ABCA7,PLEC
ABCA7,PLG
ABCA7,PRDM11
ABCA7,TBR1
ABCA7,URB2
ABCA7,WWC3
ABCA8,ATM
ABCA8,BHLHB9
ABCA8,CACNA1I
ABCA8,EGFR
ABCA8,KEAP1
ABCA8,MEGF8
ABCA8,MEOX2
ABCA8,NF1
ABCA8,OPCML
ABCA8,ROCK1
ABCA8,SLC12A2
ABCA8,SMARCA4
ABCA8,TPX2
ABCB1,ABCC10
ABCB1,ACVR1B
ABCB1,ADD1
ABCB1,AEBP1
ABCB1,ALOX12
ABCB1,ARHGAP5
ABCB1,ATM
ABCB1,BMP2K
ABCB1,BRAF
ABCB1,C4BPA
ABCB1,CAMKV
ABCB1,CDC25C
ABCB1,COL18A1
ABCB1,DLK1
ABCB1,EFCAB6
ABCB1,EGFR
ABCB1,EIF4ENIF1
ABCB1,ERBB2
ABCB1,FAM120C
ABCB1,FOXM1
ABCB1,FYN
ABCB1,GGNBP2
ABCB1,GTPBP4
ABCB1,HSD17B4
ABCB1,KCNQ2
ABCB1,KEAP1
ABCB1,KRAS
ABCB1,MACF1
ABCB1,MCM5
ABCB1,MLXIP
ABCB1,MPDZ
ABCB1,OPHN1
ABCB1,PBRM1
ABCB1,PER3
ABCB1,PIK3R1
ABCB1,PLXNB2
ABCB1,PPRC1
ABCB1,PUS7L
ABCB1,QSER1
ABCB1,RALGAPB
ABCB1,RBM10
ABCB1,RNF145
ABCB1,ROCK1
ABCB1,RPL5
ABCB1,SAMHD1
ABCB1,SCML2
ABCB1,SDHA
ABCB1,SEMA4D
ABCB1,SETD5
ABCB1,SLC34A2
ABCB1,ST8SIA5
ABCB1,TMF1
ABCB1,TOP1
ABCB1,UTP20
ABCB1,ZNF292
ABCB1,ZNF606
ABCB11,DLK1
ABCB11,KIR2DL3
ABCB11,RAG1
ABCB11,TRIOBP
ABCB4,CD163
ABCB4,CDH7
ABCB4,CHD4
ABCB4,CHGB
ABCB4,COL18A1
ABCB4,CSPP1
ABCB4,EGFR
ABCB4,EHBP1
ABCB4,F13A1
ABCB4,GRIA4
ABCB4,GUCY2F
ABCB4,HSPG2
ABCB4,IL1RAPL2
ABCB4,JAK3
ABCB4,KRAS
ABCB4,NBAS
ABCB4,NRXN3
ABCB4,SLC24A2
ABCB4,TRPS1
ABCB4,ULK4
ABCB4,USP32
ABCB4,USP34
ABCB4,UTP20
ABCB4,ZFC3H1
ABCB4,ZFPM2
ABCB5,ADARB1
ABCB5,AKAP13
ABCB5,ARAF
ABCB5,ARHGAP11A
ABCB5,ARHGAP29
ABCB5,ARHGEF7
ABCB5,ARHGEF9
ABCB5,ARID1A
ABCB5,ATXN1
ABCB5,BACE2
ABCB5,BAG6
ABCB5,BCAS3
ABCB5,C5
ABCB5,CAMSAP1
ABCB5,CAPRIN1
ABCB5,CEP72
ABCB5,CHD9
ABCB5,CHEK2
ABCB5,CHRM4
ABCB5,COL16A1
ABCB5,CROT
ABCB5,CTNNB1
ABCB5,CUX1
ABCB5,CYP27A1
ABCB5,DHX35
ABCB5,DHX58
ABCB5,DICER1
