gene1,gene2
AASS,ANKRD49
AASS,COX6C
AASS,RPN2
AASS,TEX10
AASS,UBE2D3
ADAMTS13,ANKRD49
ADAMTS13,ARF4
ADAMTS13,COX6C
ADAMTS13,DDX49
ADAMTS13,ERBB2
ADAMTS13,FOXA2
ADAMTS13,GRWD1
ADAMTS13,MTX2
ADAMTS13,NDUFC1
ADAMTS13,RPS27A
ADAMTS13,TADA2A
ADAMTS13,TEX10
ADAMTS13,UBE2D3
ADAMTS13,USP7
ADAMTS13,YME1L1
ADAMTS13,ZNHIT3
AGER,COX6C
AGER,DDX49
AGER,EXOSC8
AGER,GRWD1
AGER,HSF1
AGER,ITGB5
AGER,MTX2
AGER,RPS27A
AGER,TMEM11
AGER,YME1L1
ANKRD49,CBX7
ANKRD49,FOXO4
ANKRD49,JMJD7-PLA2G4B
ANKRD49,MTAP
ANKRD49,PARP10
ANKRD49,PRDX2
ANKRD49,SPRY1
ANKRD49,TNFRSF14
ANKRD49,ZNF577
ANKRD49,ZNF596
APOLD1,ARF4
APOLD1,FOXA2
APOLD1,HSF1
APOLD1,PSMA7
APOLD1,RPS27A
APOLD1,TADA2A
APOLD1,YME1L1
ARF4,CBX7
ARF4,MST1
ARF4,MTAP
ARF4,SPRY1
ARF4,TIAM1
ARF4,TRIM2
ARF4,TXNIP
ARF4,ZNF433
ARG2,ARF4
ARG2,ATF4
ARG2,DDX49
ARG2,EXOSC8
ARG2,FOXA2
ARG2,ILF2
ARG2,MTX2
ARG2,NPEPPS
ARG2,PPM1D
ARG2,RPS27A
ARG2,TBL3
ARG2,TOMM22
ARG2,UQCRFS1
ARG2,USP7
ARG2,YME1L1
ARID5B,ANKRD49
ARID5B,ARF4
ARID5B,DDX49
ARID5B,ERBB2
ARID5B,EXOSC4
ARID5B,FOXA2
ARID5B,HSF1
ARID5B,MDM4
ARID5B,MED28
ARID5B,MTX2
ARID5B,NDUFB5
ARID5B,NFE2L2
ARID5B,PARL
ARID5B,PSMA7
ARID5B,RPS27A
ARID5B,TADA2A
ARID5B,TMEM11
ARID5B,TOMM22
ARID5B,UBE2D3
ARID5B,USP7
ARID5B,YME1L1
ARID5B,ZNHIT3
ARVCF,ARF4
ARVCF,COX6C
ARVCF,DDX49
ARVCF,ERBB2
ARVCF,EXOSC8
ARVCF,GRWD1
ARVCF,MDM4
ARVCF,NPEPPS
ARVCF,PSMA7
ARVCF,RPN2
