gene1,gene2,label
BRCA2,MAP2K2,1
MAP2K1,MAP2K2,1
BRCA1,WEE1,1
BRCA1,BRCA2,1
BRCA1,PARP1,1
BCL2L1,BRCA1,1
BRCA1,CHEK1,1
BRCA1,MAPK3,1
AKT2,BRCA1,1
BRCA1,MCL1,1
BRCA1,MAP2K1,1
HSP90AA1,PARP2,1
AKT1,PARP2,1
PARP2,WEE1,1
BRCA2,PARP2,1
PARP1,PARP2,1
CHEK1,PARP2,1
AKT2,PARP2,1
BRCA2,HSP90AA1,1
AKT1,BRCA2,1
BRCA2,WEE1,1
BRCA2,PARP1,1
BCL2L1,BRCA2,1
BRCA2,CHEK1,1
BRCA2,MAPK3,1
AKT2,BRCA2,1
BRCA2,MCL1,1
BRCA2,MAP2K1,1
BCL2L10,BRCA2,1
BCL2L2,BRCA2,1
BRCA2,MAPK1,1
CHEK1,UBC,1
CHEK1,HSP90AA1,1
AKT1,CHEK1,1
CHEK1,WEE1,1
CHEK1,PARP1,1
BCL2L1,CHEK1,1
CHEK1,MAPK3,1
AKT2,CHEK1,1
CHEK1,MCL1,1
CHEK1,MAP2K1,1
BCL2L2,CHEK1,1
CHEK1,MAPK1,1
AKT2,HSP90AA1,1
AKT1,AKT2,1
AKT2,WEE1,1
AKT2,PARP1,1
AKT2,BCL2L1,1
AKT2,MCL1,1
AKT2,MAP2K1,1
AKT2,BCL2L2,1
AKT2,AKT3,1
AKT2,MAPK1,1
BCL2L2,HSP90AA1,1
BCL2L2,WEE1,1
BCL2L2,PARP1,1
BCL2L1,BCL2L2,1
BCL2L2,MAPK3,1
BCL2L2,MAP2K1,1
HSP90AA1,WEE1,1
HSP90AA1,PARP1,1
BCL2L1,HSP90AA1,1
HSP90AA1,MAPK3,1
AKT1,PARP1,1
PARP1,WEE1,1
BCL2L1,PARP1,1
MAPK3,PARP1,1
MCL1,PARP1,1
MAP2K1,PARP1,1
MAPK1,PARP1,1
MCL1,WEE1,1
BCL2L1,MCL1,1
MAP2K1,MCL1,1
AKT1,MAPK3,1
MAPK3,WEE1,1
MAP2K1,MAPK3,1
MAPK1,MAPK3,1
MAPK1,WEE1,1
MAP2K1,MAPK1,1
AKT3,WEE1,1
BCL2L1,WEE1,1
BCL2L1,MAP2K1,1
AKT1,MAP2K1,1
MAP2K1,WEE1,1
AKT1,WEE1,1
AKT1,UBC,1
ABL1,CSK,1
ACADS,ACADVL,1
ACSM1,ACSM2A,1
ACSM1,ACSM3,1
ACSM2A,ACSM2B,1
ACSM2A,ACSM3,1
ACSM2B,ACSM3,1
ACSM3,ACSM5,1
ADAM12,ADAM8,1
ADAM12,ADAM9,1
ADAM15,ADAM33,1
ADAM15,ADAM8,1
ADAM15,ADAM9,1
ADAM18,ADAM9,1
ADAM19,ADAM8,1
ADAM19,ADAM9,1
ADAM2,ADAM9,1
ADAM20,ADAM9,1
ADAM21,ADAM9,1
ADAM30,ADAM9,1
ADAM33,ADAM8,1
ADAM33,ADAM9,1
ADAMTS10,ADAMTS12,1
ADAMTS12,ADAMTS17,1
ADAMTS12,ADAMTS18,1
ADAMTS12,ADAMTS19,1
ADAMTS12,ADAMTS7,1
AKAP13,ARHGEF28,1
AKT1,AKT2,1
