gene1,gene2,weight
AARS1,DIDO1,4.9067547952143995
AARS1,HSPA9,4.0942319326735115
AARS1,SRSF3,5.1991675836135265
AARS1,STRN4,4.989477248734694
ABCC5,ABHD2,4.151885699798376
ABCC5,ACACA,5.251670161396366
ABCC5,ACTR2,5.5053645646268805
ABCC5,APOH,3.244598178236315
ABCC5,ARF6,3.8060014606944543
ABCC5,ARHGAP35,5.503754862676689
ABCC5,ATP5H,4.776461436415161
ABCC5,BBC3,4.718839194789924
ABCC5,BCLAF1,5.5026576469825255
ABCC5,BIK,4.850759507543048
ABCC5,BIRC2,4.15199086074369
ABCC5,BIRC3,4.147942823900833
ABCC5,BMP4,5.655418174280253
ABCC5,BRAP,5.235873261317355
ABCC5,BRD8,3.0922112465097737
ABCC5,BRPF3,4.816272188278075
ABCC5,BTRC,5.018259020449506
ABCC5,CASD1,4.297782147686043
ABCC5,CCNG1,4.958589066692404
ABCC5,CDH11,5.766927223542297
ABCC5,CDIPT,3.417976909313939
ABCC5,CELSR2,3.679665856476092
ABCC5,CRY1,5.829397808211007
ABCC5,CSNK1A1L,3.067042026205864
ABCC5,CSNK1G3,4.237355520891596
ABCC5,CTBP2,4.881896364141734
ABCC5,CYP1A1,5.56438586352278
ABCC5,DAG1,4.322315610681878
ABCC5,DGCR14,4.908248006462141
ABCC5,DGKA,4.764692462306203
ABCC5,DHH,4.930509356003029
ABCC5,DIS3,3.12364210250532
ABCC5,EPHA3,3.681441321961188
ABCC5,FGF9,4.746148721282962
ABCC5,FOXF2,3.571202509859419
ABCC5,GABBR1,4.344194162250998
ABCC5,GIT2,3.8098234635843546
ABCC5,GPR139,3.1115930327443113
ABCC5,GPR26,3.773840718287137
ABCC5,GPR61,4.860286682830885
ABCC5,GPR82,5.0315871650366315
ABCC5,GREB1,4.684851955966235
ABCC5,GRIN3A,3.1476079541262436
ABCC5,GRK6,5.674099737395895
ABCC5,GTF2A1,4.260060706071821
ABCC5,GTF2F2,5.423854382720386
ABCC5,H2AFV,5.914159454911573
ABCC5,HDAC10,5.767039993608603
ABCC5,HMGB3,5.893744711346349
ABCC5,IFNB1,3.336488396157071
ABCC5,ITPR2,3.301339255615988
ABCC5,KSR2,3.9331973478231124
ABCC5,MAN1A1,3.558236945958744
ABCC5,MAP2K6,4.202370802949792
ABCC5,MAT2B,3.721634365780208
ABCC5,MCM2,3.2507061872336402
ABCC5,MCM5,4.451446670140079
ABCC5,MDH1,4.62447597404911
ABCC5,MED21,5.745032261452119
ABCC5,MESP1,4.826591266416518
ABCC5,MIF,4.244314648440808
ABCC5,MITF,5.535900192353116
ABCC5,MXD4,4.848147189932293
ABCC5,MYLK2,4.526058840150505
ABCC5,MYNN,3.9482511419693025
ABCC5,NARS,3.829426611820045
ABCC5,NFATC3,3.2591938093065527
ABCC5,NRP1,3.3796730802047112
ABCC5,OXGR1,4.5741553404892255
ABCC5,PAK1,4.627972032465493
ABCC5,PAK3,4.875779193654919
ABCC5,PASD1,5.622155890512149
ABCC5,PHF19,5.751742809098063
ABCC5,PHF5A,4.505411961634181
ABCC5,PIK3R3,5.579475069627469
ABCC5,PKN1,3.3444520493558576
ABCC5,PPP1CA,4.484310602563076
ABCC5,PRDM4,3.114730693609542
ABCC5,PSMA8,5.2237867084181016
ABCC5,PSMB2,3.0930523156986345
ABCC5,PSMD2,5.359921613547685
ABCC5,PTPRG,3.587429943920155
ABCC5,RBPJ,5.033531284996213
ABCC5,RCCD1,5.082588163329397
ABCC5,RPTOR,5.421901836458026
ABCC5,S100Z,4.379856312633766
ABCC5,SERPINB5,4.416658528189291
ABCC5,SERPINH1,4.183172323877601
ABCC5,SIRT7,3.808071724291375
ABCC5,SLC12A7,5.7737390120295755
ABCC5,SLC25A24,3.3142373498896016
ABCC5,SLC29A1,5.82457347714748
ABCC5,SLC2A4RG,4.250836637441128
ABCC5,SLC30A2,3.7750473895106724
ABCC5,SLC30A8,3.996360595087374
ABCC5,SLC36A4,3.7965276717095104
ABCC5,SLC38A1,4.718988916970073
ABCC5,SMAD5,3.713380976434097
ABCC5,SMU1,4.922350182796113
ABCC5,SOCS1,3.0958718675961885
ABCC5,SPARC,5.580271183609973
ABCC5,ST14,5.848777407193396
ABCC5,TDRD9,5.7251393248944265
ABCC5,TMED9,3.0455915520169583
ABCC5,TNFRSF12A,3.3628804525586866
ABCC5,TNFRSF18,5.655498363566495
ABCC5,TNPO3,4.16912664953349
ABCC5,TRPM5,3.2825049663163353
ABCC5,TSG101,5.4229676247429905
ABCC5,TXNRD2,5.453659203843932
ABCC5,TXNRD3,4.810467568963402
ABCC5,UBE3A,5.953837754831094
ABCC5,ULK3,3.571815018305478
ABCC5,UQCRB,4.006092452097848
ABCC5,YES1,4.914093645452804
ABCC5,ZBTB26,4.7264875804737265
ABCC5,ZNF133,5.074261087946398
ABCC5,ZNF24,4.601226649190153
ABCC5,ZNF324,3.6001862698780602
ABCC5,ZNF426,4.623949370822075
ABCC5,ZNF486,3.3128259582299595
ABCC5,ZNF496,3.9149812336400434
ABCC5,ZNF501,4.628271220618585
ABCC5,ZNF597,3.505632493520219
ABCC5,ZNF621,4.865680930140048
ABCC5,ZNF786,5.820745046800611
ABCC5,ZNF805,5.722037637641959
ABCF3,ATG3,5.786351943447155
ABCF3,KLRC1,5.969423404520972
ABCF3,PSMA1,3.0979670685305907
ABCF3,PSMB2,4.9136907818278
ABCF3,PSMB5,4.327719787854241
ABCF3,QDPR,4.533462534352507
ABCF3,TMEM11,3.626589870826269
ABHD3,PSMB2,3.8404479635429802
ABHD3,PSMD2,3.22303762641985
ABHD4,CARD9,4.334877428910318
ABHD4,CASC3,5.858693036510605
ABHD4,KEAP1,3.2150746380226423
ABHD4,NKX2-3,5.82141945592053
ABHD4,PNN,4.746879424105307
ABHD4,PSMA1,5.994815765171534
ABHD4,PSMA3,5.789483425078197
ABHD4,PSMB1,4.989632397800516
ABHD4,PSMB2,4.196279181253159
ABHD4,PSMB5,5.177688144603335
ABHD4,PSMD1,3.8879342871489593
ABHD4,PSMD2,5.222501653661427
ABHD4,PSMD4,5.611624580110449
ABHD4,SFPQ,4.166952718233257
ABHD4,SPRY2,3.2423479345094575
ABHD4,TSG101,3.472419912071653
ABHD4,UBQLN2,3.870135065096025
ABHD5,PSMA1,4.663371738626079
ABHD6,ANPEP,5.285072042887495
ABHD6,ARNTL2,3.359758965809647
ABHD6,BNIP2,4.6949563409616015
ABHD6,BNIP3L,4.30144374372374
ABHD6,DFFB,3.435335854545449
ABHD6,DGCR14,4.462731142335462
ABHD6,F5,3.422737133990171
ABHD6,FADS1,5.56406038389636
ABHD6,GABBR2,5.94929310638479
ABHD6,GALT,5.899616401448162
ABHD6,HAL,4.3632993289950806
ABHD6,HBP1,5.19639761248678
ABHD6,HES5,4.359199699094474
ABHD6,HLA-DQB1,3.49404184605213
ABHD6,HOXC4,3.6671955907767124
ABHD6,LHX4,4.714337056484432
ABHD6,LPAR3,4.046406725490744
ABHD6,MCCC1,5.199374216966276
ABHD6,MMP7,3.1274870864270663
ABHD6,NAIP,5.083038313717814
ABHD6,NKX2-5,3.7418549793360207
ABHD6,P4HA1,4.285941827328584
ABHD6,PSMD3,4.228365462107355
ABHD6,RARG,3.4794457933334724
ABHD6,SARS,5.347288903514682
ABHD6,SCAND1,5.0742034019912685
ABHD6,SSB,3.504361912498414
ABHD6,TDRD9,4.20836099727918
ABHD6,UGCG,4.02043496004328
ABHD6,WARS,4.106352604163217
ABHD6,ZNF398,5.852040873813506
ABHD6,ZNF561,3.202866860499981
ABHD6,ZNF643,5.369755567255576
ABL1,RNF125,4.871942388523461
ABL2,PSMA3,4.07863641924741
ABL2,PSMB2,3.8709842967784396
ACAT2,ACAT2,3.575375882462199
ACAT2,ACLY,4.338364976346453
ACAT2,FBP1,5.638662280289867
ACAT2,HMGCS1,3.6053882743331362
ACAT2,LMNA,4.572183914360719
ACAT2,NDUFA5,3.814076729467553
ACAT2,NFKBIE,4.190470326655166
ACAT2,PLCG2,3.822078166053978
ACAT2,RELN,4.335357121410925
ACAT2,RPL7,3.2606494514366906
ACAT2,SLC1A6,4.380969384377144
ACAT2,SREBF2,5.908947863059472
ACAT2,TASP1,3.976506178946921
ACAT2,UNC13B,4.6576892390531395
ACBD3,ACBD3,5.243242155321974
ACBD3,IL2RB,4.538699190930961
ACBD3,ZNF561,5.912136998532125
ACBD4,E2F5,4.8039570954772355
ACD,ANKRD49,5.631224383560059
ACD,NDUFA2,5.3320178210405
ACD,SUPV3L1,5.439836226780272
ACLY,ACLY,3.693333598113811
ACSL5,PSMB2,5.3719984760025845
ACTR1B,PSMA1,5.167844255304129
ADAM10,ABCG5,3.5563008411601293
ADAM10,AHR,4.163416345332051
ADAM10,APOH,3.535757243693797
ADAM10,CDK11B,3.206559629889223
ADAM10,DIS3,4.445211725725089
ADAM10,DUSP7,4.240850843126656
ADAM10,ENDOG,5.867683103577701
ADAM10,FASLG,3.354585282892098
ADAM10,HDAC8,4.591772029209656
ADAM10,NFATC2,4.145663540368957
ADAM10,NFE2L1,5.130714415843849
ADAM10,PLCG2,4.465881918401186
ADAM10,SUPT5H,4.211646339565796
ADAM10,TWIST1,5.9016444005334305
ADAM10,UQCRC1,3.231195980449719
ADAM10,ZNF786,3.2320514607637323
ADAM17,PSMB2,4.979544742685424
ADAMTS20,WARS,4.3116350509788095
ADAT1,CDIPT,5.940698773923952
ADAT1,CYP1A1,4.155194651425754
ADAT1,DCPS,4.972637474207762
ADAT1,GTF2A1,3.7911182947958286
ADCY10,WARS,5.1614819922129005
ADGRE1,CHMP2A,5.990747838031556
ADGRE1,PTMS,5.032093176660101
ADGRE5,BRAP,5.4894122615906165
ADGRE5,CD97,5.426214619789528
ADGRE5,DHFR,5.420783428992863
ADGRE5,IL18,5.597316695474119
ADGRE5,LMNA,5.773740938583302
ADGRE5,MRGPRX2,3.5829355542773396
ADGRE5,TIRAP,5.724548531250669
ADGRE5,ZNF434,3.6399366163214895
ADGRG1,AQP12A,4.867536581470138
