gene1,gene2
A1CF,TP53
A2M,ABCA2
A2M,AHDC1
A2M,ALKBH4
A2M,ANKRD2
A2M,AQP3
A2M,ARHGEF1
A2M,ATP2B3
A2M,CAMTA2
A2M,CCDC40
A2M,CCDC88C
A2M,CHRNA4
A2M,COLGALT1
A2M,CSNK1A1L
A2M,CTC1
A2M,CYHR1
A2M,DNAJB5
A2M,EEF1D
A2M,EIF4A2
A2M,ELF3
A2M,EPHB1
A2M,EPS8L3
A2M,EXOC7
A2M,FASN
A2M,FLG
A2M,GAMT
A2M,GDF10
A2M,GPR50
A2M,HECW1
A2M,HIP1R
A2M,IGF1R
A2M,KCNV1
A2M,KDM5C
A2M,KLHL22
A2M,KRT83
A2M,LAMA3
A2M,LTK
A2M,MAGIX
A2M,MAN2A2
A2M,MC3R
A2M,MFSD5
A2M,MUC16
A2M,MUC5B
A2M,NAALADL1
A2M,NBPF10
A2M,NEFM
A2M,NRAS
A2M,OPCML
A2M,PARP3
A2M,PCDH17
A2M,PLEC
A2M,PLXNB3
A2M,PRSS12
A2M,PTBP3
A2M,RBM10
A2M,SCN9A
A2M,SEMA6C
A2M,SH3BP5
A2M,SLC1A1
A2M,SLC38A10
A2M,SLC8B1
A2M,SOX17
A2M,SOX9
A2M,SPHK2
A2M,STX4
A2M,TBX10
A2M,TCF7L2
A2M,TM9SF4
A2M,TP53
A2M,TRAF7
A2M,TRIM16
A2M,TRIP6
A2M,TRPM4
A4GALT,CTNNA2
A4GALT,MYO5A
A4GALT,RYR1
A4GALT,SOX9
A4GALT,UGGT2
A4GNT,PLXNB1
A4GNT,RNF43
A4GNT,SOX9
A4GNT,TP53
A4GNT,TRAPPC9
AAAS,APC
AAAS,ATG2A
AAAS,DMD
AAAS,FLT4
AAAS,KRAS
AAAS,NBEAL2
AAAS,NRAS
AAAS,PIK3CA
AAAS,RIMBP2
AAAS,TP53
AAAS,ZNF646
AACS,BMP1
AACS,CEP170B
AACS,CLIP2
AACS,INPPL1
AACS,KCNV1
AACS,PIK3CA
AACS,PLXNB3
AACS,RBM10
AACS,SETD1A
AACS,SMAD4
AACS,SOX9
AACS,TP53
AADAC,BCOR
AADAC,SEC16A
AADAC,SETD1B
AADAC,SOX9
AADAC,TP53
AAGAB,ABCA1
AAGAB,DMD
AAGAB,FLRT2
AAGAB,KRAS
AAGAB,LRP2
AAGAB,NEB
AAGAB,PCLO
AAGAB,PIK3CA
AAGAB,RYR3
AAGAB,SHANK1
AAGAB,TENM4
AAGAB,TP53
AAGAB,USH2A
AAGAB,USP34
AAGAB,ZFHX4
AAGAB,ZNF423
AAK1,ANK1
AAK1,CADM1
AAK1,DUSP22
AAK1,GABRA5
AAK1,GRIA4
AAK1,HUWE1
AAK1,ING1
AAK1,KCNG1
AAK1,MAGEC1
AAK1,MTR
AAK1,MYBPC2
AAK1,NRAS
AAK1,PIK3CA
AAK1,PITPNM1
AAK1,PLCB1
AAK1,SOX4
AAK1,SOX9
AAK1,TCF7L2
AAK1,TP53
AAMP,PIK3CA
AAR2,ARID1A
AAR2,KIF26B
AAR2,PLXNA1
AAR2,TP53
AARS,GRM2
AARS,SLC1A6
AARS,SOX9
AARS,TP53
AASDHPPT,CROCC
AASDHPPT,MUC2
AASDHPPT,SOX9
AASDHPPT,TP53
AASS,ABL1
AASS,ACTA1
AASS,ADAM29
AASS,AHDC1
AASS,AMIGO3
AASS,ANKRD11
AASS,ARHGAP33
AASS,ARHGAP5
AASS,ARHGEF11
AASS,BGN
AASS,C2CD2
AASS,CDH5
AASS,CDK11A
AASS,CNTNAP2
AASS,COL6A2
AASS,COLGALT1
AASS,CUL5
AASS,CYP4F12
AASS,DDX11
AASS,DET1
AASS,ECEL1
AASS,FBXW7
AASS,FKBP10
AASS,FLG
AASS,FRK
AASS,GNAZ
AASS,GNB1L
AASS,GORASP1
AASS,GPR50
AASS,GSE1
AASS,HAS1
AASS,HDAC4
AASS,HECW1
AASS,HLA-B
AASS,HNRNPDL
AASS,HPS1
AASS,ICOSLG
AASS,IGFALS
AASS,INCENP
AASS,IQSEC1
AASS,KCNV1
AASS,KDM2A
AASS,KHSRP
AASS,LRP1B
AASS,MAGEC1
AASS,MAP2K7
AASS,MST1R
AASS,MTMR4
AASS,MUC2
AASS,MVK
AASS,NAP1L3
AASS,NDUFS1
AASS,NLGN4X
AASS,NUAK1
AASS,OLFML2A
AASS,PAFAH2
AASS,PCDH15
AASS,PCDH17
AASS,PER1
AASS,PFKP
AASS,PHF8
AASS,PLEKHH3
AASS,PRPF6
AASS,RAD54L2
AASS,RRP12
AASS,SAMD9
AASS,SCN9A
AASS,SF3B4
AASS,SHROOM2
AASS,SLC41A3
AASS,SLC9A8
AASS,SLIT1
AASS,SMAD4
AASS,SOHLH2
AASS,SOX9
AASS,TARBP2
AASS,TENM1
AASS,TG
AASS,TGIF1
AASS,TGM1
AASS,THSD7A
AASS,TKTL1
AASS,TM9SF2
AASS,TP53
AASS,TPP1
AASS,TSC2
AASS,UNC13B
AASS,VWF
AASS,WTAP
AASS,ZBTB7A
AASS,ZC3H12A
AASS,ZC3H3
AASS,ZFP36L1
AASS,ZNF423
AASS,ZNF689
AASS,ZXDB
AATF,PLXNB3
AATF,SOX9
AATK,ADAM7
AATK,ANKRD36BP2
AATK,CD209
AATK,CDH17
AATK,CDH18
AATK,CDH7
AATK,CTNNA3
AATK,CYP4F3
AATK,EPHB1
AATK,GRK6
AATK,GRM2
AATK,HAO1
AATK,HTR1B
AATK,L3MBTL1
AATK,MYO5A
AATK,NADK
AATK,NPR2
AATK,NRDE2
AATK,NRG1
AATK,PITPNM1
AATK,PLCL2
AATK,PLEKHA4
AATK,PPP4R4
AATK,RANBP10
AATK,SALL4
AATK,SEMA4D
AATK,SFSWAP
AATK,SIRPB1
AATK,SLC13A4
AATK,SLC6A1
AATK,SOX9
AATK,SPTA1
AATK,SYN3
AATK,SYNE1
AATK,TP53
AATK,TTC21B
AATK,TTN
AATK,VPS11
ABAT,APC
ABAT,KDM6B
ABAT,KRAS
ABAT,PIK3C2B
ABAT,PIK3CA
ABAT,SMAD2
ABAT,TP53
ABCA1,FTSJ1
ABCA1,IKZF3
ABCA1,KLF5
ABCA1,MAP2K7
ABCA1,PTH1R
ABCA1,RIMBP2
ABCA1,RYR2
ABCA1,SOX9
ABCA11P,ABCA2
ABCA11P,CASZ1
ABCA11P,GRM3
ABCA11P,HSPG2
ABCA11P,SOX9
ABCA11P,TGIF1
ABCA11P,TP53
ABCA12,ABCA2
ABCA12,ABL1
ABCA12,ADAMTS13
ABCA12,AKAP11
ABCA12,ALX4
ABCA12,ANKMY1
ABCA12,ARHGEF40
ABCA12,BCORL1
ABCA12,CAMTA1
ABCA12,CASZ1
ABCA12,CDK11B
ABCA12,COBL
ABCA12,COL5A3
ABCA12,COX8A
ABCA12,DDR1
ABCA12,EIF4A2
ABCA12,ELF3
ABCA12,ELL
ABCA12,EPHA2
ABCA12,EPHA4
ABCA12,EPHB2
ABCA12,EPS8L1
ABCA12,ESR1
ABCA12,FAM189B
ABCA12,FASN
ABCA12,FCGBP
ABCA12,FKBP10
ABCA12,FLG
ABCA12,FTSJ1
ABCA12,GALNT14
ABCA12,GLUD2
ABCA12,GPR12
ABCA12,GPR50
ABCA12,GRK1
ABCA12,GRM2
ABCA12,HECTD4
ABCA12,HECW1
ABCA12,HIST1H2BK
ABCA12,HSPA2
ABCA12,HSPA6
ABCA12,HSPG2
ABCA12,ICAM5
ABCA12,IGF1R
ABCA12,IGFALS
ABCA12,INPPL1
ABCA12,IRX4
ABCA12,KAT2A
ABCA12,KATNB1
ABCA12,KCNJ4
ABCA12,KCNV1
ABCA12,KIF1A
ABCA12,KLF5
ABCA12,KLF8
ABCA12,KLRG1
ABCA12,KRT8
ABCA12,LHX2
ABCA12,LHX6
ABCA12,LPAR3
ABCA12,LRP5
ABCA12,LYPLA2
ABCA12,MAGEA4
ABCA12,MAP2K7
ABCA12,MAPK4
ABCA12,MICALL2
ABCA12,MRPS31
ABCA12,MST1R
ABCA12,MUC16
ABCA12,MYH14
ABCA12,NADK
ABCA12,NFE2L1
ABCA12,NRAS
ABCA12,NTM
ABCA12,P2RX1
ABCA12,PCDH17
ABCA12,PCGF3
ABCA12,PDE4A
ABCA12,PIAS4
ABCA12,PIP5K1C
ABCA12,PLEKHH3
ABCA12,PLXNA1
ABCA12,PLXNA3
ABCA12,PLXNB3
ABCA12,RBM10
ABCA12,RELA
ABCA12,RHOT2
ABCA12,RNF44
ABCA12,RPL22
ABCA12,RXFP3
ABCA12,SARDH
ABCA12,SEMA3F
ABCA12,SEMA4C
ABCA12,SETD1A
ABCA12,SF3B4
ABCA12,SFN
ABCA12,SH2B3
ABCA12,SH3GLB2
ABCA12,SHROOM2
ABCA12,SIGLEC6
ABCA12,SLC25A6
ABCA12,SLC39A4
ABCA12,SLC4A2
ABCA12,SLIT3
ABCA12,SNAI1
ABCA12,SOX11
ABCA12,SOX4
ABCA12,SOX9
ABCA12,SPTB
ABCA12,SS18L1
ABCA12,STEAP3
ABCA12,TAF1C
ABCA12,TBC1D9B
ABCA12,TCF7L2
ABCA12,TET3
ABCA12,TFEB
ABCA12,TGFBR2
ABCA12,TMEM59L
ABCA12,TNFRSF14
ABCA12,TNRC6B
ABCA12,TP53
ABCA12,TP53TG5
ABCA12,TSC2
ABCA12,TSPYL5
ABCA12,VPS51
ABCA12,ZNF423
ABCA12,ZNF646
ABCA12,ZSCAN18
ABCA2,ABCC8
ABCA2,ARHGEF7
ABCA2,ATP2C1
ABCA2,BGN
ABCA2,BTAF1
ABCA2,C6
ABCA2,CEP350
ABCA2,CHRNB3
ABCA2,COLEC12
ABCA2,CST1
ABCA2,CTNNA2
ABCA2,CYP3A43
ABCA2,DERL1
ABCA2,DKK4
ABCA2,EDN3
ABCA2,EPB41L4B
ABCA2,ETFDH
ABCA2,EXTL2
ABCA2,EXTL3
ABCA2,FAM13A
ABCA2,FOXD2
ABCA2,FRMPD4
ABCA2,GABRB1
ABCA2,GAD1
ABCA2,GGNBP2
ABCA2,GPI
ABCA2,GPR174
ABCA2,GRPR
ABCA2,GSTM5
ABCA2,GYS2
ABCA2,HDAC8
ABCA2,HTATSF1
ABCA2,INHBA
ABCA2,JAK2
ABCA2,JMJD1C
ABCA2,KDM5B
ABCA2,KDM7A
ABCA2,KDR
ABCA2,KIAA1549L
ABCA2,KRT6A
ABCA2,LILRA1
ABCA2,LUZP2
ABCA2,LYST
ABCA2,MAN2A1
ABCA2,MAP2K4
ABCA2,MEIS2
ABCA2,MLH1
ABCA2,MLLT10
