gene1,gene2
ACACA,AASS
ACACA,ABCA3
ACACA,ADA
ACACA,ADCY7
ACACA,ADCY9
ACACA,ADGRL1
ACACA,AHNAK2
ACACA,AKT3
ACACA,ANKRD6
ACACA,ANTXR1
ACACA,APBB1
ACACA,APOBEC3C
ACACA,APOBEC3F
ACACA,ARAP3
ACACA,ARHGEF10
ACACA,ARL4C
ACACA,ARSB
ACACA,ATP10D
ACACA,ATP8B2
ACACA,B3GALNT1
ACACA,BASP1
ACACA,BCAT1
ACACA,BEX3
ACACA,BHLHB9
ACACA,CALD1
ACACA,CBR3
ACACA,CBS
ACACA,CCDC88A
ACACA,CD83
ACACA,CDK14
ACACA,CDKL3
ACACA,CERS4
ACACA,CHN1
ACACA,CHST10
ACACA,CHST11
ACACA,CHST15
ACACA,CLEC2D
ACACA,CLTCL1
ACACA,CNTLN
ACACA,CNTNAP1
ACACA,COL6A1
ACACA,COL7A1
ACACA,CPLANE1
ACACA,CPPED1
ACACA,CSF1
ACACA,CSRP2
ACACA,CTSF
ACACA,CYBRD1
ACACA,DIPK1A
ACACA,DLG4
ACACA,DNAJC6
ACACA,DPF1
ACACA,DRAM1
ACACA,DTX3
ACACA,DUSP10
ACACA,DYRK3
ACACA,DZIP1
ACACA,EGFL7
ACACA,EHD3
ACACA,ELOVL5
ACACA,EPDR1
ACACA,ERO1B
ACACA,ETNK2
ACACA,EVC
ACACA,EXOC6B
ACACA,FADS2
ACACA,FAM169A
ACACA,FAM171A1
ACACA,FAM234B
ACACA,FBLN1
ACACA,FBXL2
ACACA,FERMT2
ACACA,FGD1
ACACA,FGFR1
ACACA,FHOD3
ACACA,FKBP1B
ACACA,FOXD1
ACACA,FSCN1
ACACA,FSTL1
ACACA,FUZ
ACACA,FZD1
ACACA,FZD2
ACACA,GABBR1
ACACA,GALC
ACACA,GAMT
ACACA,GAS6
ACACA,GDAP1
ACACA,GDF11
ACACA,GJC1
ACACA,GPR161
ACACA,GPSM1
ACACA,GSDME
ACACA,GSTM2
ACACA,GSTM3
ACACA,GSTM4
ACACA,HDAC9
ACACA,HDGFL3
ACACA,HEG1
ACACA,HLTF
ACACA,HOMER2
ACACA,HSD17B6
ACACA,ID3
ACACA,IFI16
ACACA,IGFBP3
ACACA,IL27RA
ACACA,ITGA5
ACACA,ITPR1
ACACA,JAK2
ACACA,JAZF1
ACACA,KAT2B
ACACA,KCNN4
ACACA,KDM4D
ACACA,KLF7
ACACA,KLF9
ACACA,LHFPL6
ACACA,LIMD2
ACACA,LOXL2
ACACA,LRP3
ACACA,LRP4
ACACA,LYN
ACACA,LYRM9
ACACA,LYST
ACACA,MAGEH1
ACACA,MAP1B
ACACA,MAP9
ACACA,MAPK11
ACACA,MBOAT2
ACACA,MDFIC
ACACA,MICB
ACACA,MPDZ
ACACA,MPP1
ACACA,MPP2
ACACA,MR1
ACACA,MVB12B
ACACA,MXRA7
ACACA,MYBL1
ACACA,MYO5A
ACACA,NAT1
ACACA,NAV2
ACACA,NBEA
ACACA,NFATC1
ACACA,NINL
ACACA,NR3C1
ACACA,NRP2
ACACA,NT5M
ACACA,OBSL1
ACACA,OGFRL1
ACACA,OSMR
ACACA,OXCT1
ACACA,P2RX5
ACACA,PARVB
ACACA,PCDHGC3
ACACA,PDK3
ACACA,PEG10
ACACA,PGBD1
ACACA,PIK3CD
ACACA,PKIG
ACACA,PLAU
ACACA,PLEKHO1
ACACA,PSMB9
ACACA,PSTPIP2
ACACA,PTPRG
ACACA,PTPRS
ACACA,PTPRU
ACACA,PXK
ACACA,QKI
ACACA,RAB31
ACACA,RAB3IL1
ACACA,RASSF8
ACACA,RECK
ACACA,RGS20
ACACA,RGS9
ACACA,RIN3
ACACA,ROBO1
ACACA,RPL39L
ACACA,RTL8C
ACACA,RUSC2
ACACA,S1PR2
ACACA,SATB2
ACACA,SCD5
ACACA,SDC3
ACACA,SEMA4F
ACACA,SEMA7A
ACACA,SEPTIN6
ACACA,SGCE
ACACA,SH3BP5
ACACA,SIRT4
ACACA,SIX1
ACACA,SLC12A5
ACACA,SLC30A4
ACACA,SLC4A3
ACACA,SLC6A9
ACACA,SLCO3A1
ACACA,SMO
ACACA,SNRPN
ACACA,SNTA1
ACACA,SNX10
ACACA,SOAT1
ACACA,SOCS2
ACACA,SOCS3
ACACA,SOGA1
ACACA,SPART
ACACA,SPHK1
ACACA,STARD13
ACACA,STC2
ACACA,STOM
ACACA,SYDE1
ACACA,SYNGR1
ACACA,SYNM
ACACA,TBKBP1
ACACA,TCEA2
ACACA,TIAM1
ACACA,TMEM45A
ACACA,TNFAIP3
ACACA,TPST1
ACACA,TRMT12
ACACA,TRPC1
ACACA,TTC28
ACACA,TUSC3
ACACA,UBE2L6
ACACA,WHRN
ACACA,WIPF1
ACACA,WNT3
ACACA,WWC3
ACACA,WWTR1
ACACA,ZBTB10
ACACA,ZCCHC24
ACACA,ZFP30
ACACA,ZFP37
ACACA,ZNF134
ACACA,ZNF287
ACACA,ZNF304
ACACA,ZNF345
ACACA,ZNF362
ACACA,ZNF462
ACACA,ZNF512B
ACACA,ZNF528
ACACA,ZNF529
ACACA,ZNF549
ACACA,ZNF583
ACACA,ZNF606
ACACA,ZNF654
ACACA,ZNF658
ACACA,ZXDB
AHCYL1,AASS
AHCYL1,ABCA3
AHCYL1,ADA
AHCYL1,ADCY7
AHCYL1,ADCY9
AHCYL1,ADGRL1
AHCYL1,AHNAK2
AHCYL1,AKT3
AHCYL1,ANKRD6
AHCYL1,ANTXR1
AHCYL1,APBB1
AHCYL1,APOBEC3C
AHCYL1,APOBEC3F
AHCYL1,ARAP3
AHCYL1,ARHGEF10
AHCYL1,ARL4C
AHCYL1,ARSB
AHCYL1,ATP10D
AHCYL1,ATP8B2
AHCYL1,B3GALNT1
AHCYL1,BASP1
AHCYL1,BCAT1
AHCYL1,BEX3
AHCYL1,BHLHB9
AHCYL1,CALD1
AHCYL1,CBR3
AHCYL1,CBS
AHCYL1,CCDC88A
AHCYL1,CD83
AHCYL1,CDK14
AHCYL1,CDKL3
AHCYL1,CERS4
AHCYL1,CHN1
AHCYL1,CHST10
AHCYL1,CHST11
AHCYL1,CHST15
AHCYL1,CLEC2D
AHCYL1,CLTCL1
AHCYL1,CNTLN
AHCYL1,CNTNAP1
AHCYL1,COL6A1
AHCYL1,COL7A1
AHCYL1,CPLANE1
AHCYL1,CPPED1
AHCYL1,CSF1
AHCYL1,CSRP2
AHCYL1,CTSF
AHCYL1,CYBRD1
AHCYL1,DIPK1A
AHCYL1,DLG4
AHCYL1,DNAJC6
AHCYL1,DPF1
AHCYL1,DRAM1
AHCYL1,DTX3
AHCYL1,DUSP10
AHCYL1,DYRK3
AHCYL1,DZIP1
AHCYL1,EGFL7
AHCYL1,EHD3
AHCYL1,ELOVL5
AHCYL1,EPDR1
AHCYL1,ERO1B
AHCYL1,ETNK2
AHCYL1,EVC
AHCYL1,EXOC6B
AHCYL1,FADS2
AHCYL1,FAM169A
AHCYL1,FAM171A1
AHCYL1,FAM234B
AHCYL1,FBLN1
AHCYL1,FBXL2
AHCYL1,FERMT2
AHCYL1,FGD1
AHCYL1,FGFR1
AHCYL1,FHOD3
AHCYL1,FKBP1B
AHCYL1,FOXD1
AHCYL1,FSCN1
AHCYL1,FSTL1
AHCYL1,FUZ
AHCYL1,FZD1
AHCYL1,FZD2
AHCYL1,GABBR1
AHCYL1,GALC
AHCYL1,GAMT
AHCYL1,GAS6
AHCYL1,GDAP1
AHCYL1,GDF11
AHCYL1,GJC1
AHCYL1,GPR161
AHCYL1,GPSM1
AHCYL1,GSDME
AHCYL1,GSTM2
AHCYL1,GSTM3
AHCYL1,GSTM4
AHCYL1,HDAC9
AHCYL1,HDGFL3
AHCYL1,HEG1
AHCYL1,HLTF
AHCYL1,HOMER2
AHCYL1,HSD17B6
AHCYL1,ID3
AHCYL1,IFI16
AHCYL1,IGFBP3
AHCYL1,IL27RA
AHCYL1,ITGA5
AHCYL1,ITPR1
AHCYL1,JAK2
AHCYL1,JAZF1
AHCYL1,KAT2B
AHCYL1,KCNN4
AHCYL1,KDM4D
AHCYL1,KLF7
AHCYL1,KLF9
AHCYL1,LHFPL6
AHCYL1,LIMD2
AHCYL1,LOXL2
AHCYL1,LRP3
AHCYL1,LRP4
AHCYL1,LYN
AHCYL1,LYRM9
AHCYL1,LYST
AHCYL1,MAGEH1
AHCYL1,MAP1B
AHCYL1,MAP9
AHCYL1,MAPK11
AHCYL1,MBOAT2
AHCYL1,MDFIC
AHCYL1,MICB
AHCYL1,MPDZ
AHCYL1,MPP1
AHCYL1,MPP2
AHCYL1,MR1
AHCYL1,MVB12B
AHCYL1,MXRA7
AHCYL1,MYBL1
AHCYL1,MYO5A
AHCYL1,NAT1
AHCYL1,NAV2
AHCYL1,NBEA
AHCYL1,NFATC1
AHCYL1,NINL
AHCYL1,NR3C1
AHCYL1,NRP2
AHCYL1,NT5M
AHCYL1,OBSL1
AHCYL1,OGFRL1
AHCYL1,OSMR
AHCYL1,OXCT1
AHCYL1,P2RX5
AHCYL1,PARVB
AHCYL1,PCDHGC3
AHCYL1,PDK3
AHCYL1,PEG10
AHCYL1,PGBD1
AHCYL1,PIK3CD
AHCYL1,PKIG
AHCYL1,PLAU
AHCYL1,PLEKHO1
AHCYL1,PSMB9
AHCYL1,PSTPIP2
AHCYL1,PTPRG
AHCYL1,PTPRS
AHCYL1,PTPRU
AHCYL1,PXK
AHCYL1,QKI
AHCYL1,RAB31
AHCYL1,RAB3IL1
AHCYL1,RASSF8
AHCYL1,RECK
AHCYL1,RGS20
AHCYL1,RGS9
AHCYL1,RIN3
AHCYL1,ROBO1
AHCYL1,RPL39L
AHCYL1,RTL8C
AHCYL1,RUSC2
AHCYL1,S1PR2
AHCYL1,SATB2
AHCYL1,SCD5
AHCYL1,SDC3
AHCYL1,SEMA4F
AHCYL1,SEMA7A
AHCYL1,SEPTIN6
AHCYL1,SGCE
AHCYL1,SH3BP5
AHCYL1,SIRT4
AHCYL1,SIX1
AHCYL1,SLC12A5
AHCYL1,SLC30A4
AHCYL1,SLC4A3
AHCYL1,SLC6A9
AHCYL1,SLCO3A1
AHCYL1,SMO
AHCYL1,SNRPN
