gene1,gene2,label
BRCA1,MAPK1,1
BRCA2,WEE1,1
BRCA2,MTOR,1
BRCA2,MAPK1,1
CHEK1,UBC,1
CHEK1,WEE1,1
CHEK1,MTOR,1
CHEK1,MAP2K1,1
AKT2,MTOR,1
MAPK1,MAPK3,1
MAPK1,WEE1,1
MAPK1,MTOR,1
MTOR,UBC,1
MTOR,WEE1,1
MAP2K1,MTOR,1
MAP2K1,WEE1,1
ACTG1,DSPP,1
ADH7,LAS1L,1
MEP1A,TUBGCP2,1
BRCA1,BRCA2,1
BRCA1,PARP1,1
BRCA1,MAPK3,1
BRCA1,MAPK1,1
BRCA2,WEE1,1
BRCA2,MTOR,1
BRCA2,MAP2K1,1
BRCA2,MAPK1,1
CHEK1,UBC,1
CHEK1,WEE1,1
CHEK1,MTOR,1
CHEK1,MAP2K1,1
CHEK1,MAPK1,1
AKT2,MTOR,1
MTOR,PARP1,1
MCL1,WEE1,1
MAPK3,WEE1,1
MAPK1,MAPK3,1
MAPK1,UBC,1
MAPK1,WEE1,1
MAPK1,MTOR,1
MAP2K1,MAPK1,1
MTOR,UBC,1
MTOR,WEE1,1
MAP2K1,MTOR,1
MAP2K1,WEE1,1
UBC,WEE1,1
ACAP3,KLK12,1
ACTG1,DSPP,1
ACVR2A,PLA2G2F,1
ACVR2B,BMP15,1
ADH7,LAS1L,1
AGAP9,BPIFB6,1
AKT2,NDST4,1
ANKRA2,SPEM1,1
ARCN1,PDILT,1
ASAP1,GABRA1,1
ATF7,NDST4,1
BCR,GABRA1,1
BMP15,CCT7,1
BMP15,CDC42BPB,1
BMP15,DGCR6L,1
BMP15,IRF2BPL,1
BMP15,PPARD,1
BMP15,TBC1D17,1
CBX5,RNF17,1
CCNYL1,DGAT2L6,1
CDH1,OPN5,1
CDX4,CYTH1,1
CDX4,MAP2K1,1
CDX4,NAP1L1,1
CHUK,DGAT2L6,1
CLRN1,TSPYL4,1
CPEB4,OPN5,1
CSNK1D,CSNK1E,1
CSNK1G1,SLC36A3,1
CST9,EZR,1
CST9,ZNF286B,1
CXorf66,GIT2,1
CYTH2,PDILT,1
CYTH3,NDST4,1
DCUN1D1,SLC13A1,1
DDOST,TPH2,1
DGAT2L6,MFAP3,1
DGAT2L6,NT5DC2,1
DGAT2L6,RSBN1L,1
DGAT2L6,TST,1
DHX8,TPH2,1
DPAGT1,GFRAL,1
DPF1,MEP1A,1
ECD,FMR1NB,1
ERCC2,PRSS37,1
F13B,IMP3,1
FGFR1OP2,PNPLA5,1
FMR1NB,NACC1,1
G3BP1,GLRA2,1
GABRA1,YIPF1,1
GLRA2,MEF2A,1
GPR50,TONSL,1
GSK3A,GSK3B,1
HDAC1,HDAC2,1
HMG20B,MEP1A,1
KLK12,TMEM14B,1
KLK12,TTC30A,1
LATS2,NDST4,1
LRBA,RD3,1
LUC7L3,TRPC7,1
MEP1A,TUBGCP2,1
NDFIP1,SPEM1,1
NDST4,RPS5,1
NDST4,TESK1,1
NDST4,TMEM14A,1
NELFB,PPP3R2,1
NLN,SERPINB12,1
NT5DC3,OPN5,1
NUP133,TKTL2,1
OPN5,SLC41A3,1
OSBPL7,RNF17,1
PIP5K1C,RXFP3,1
PLA2G2F,ZNF600,1
PPP3CA,SERPINB12,1
PPP3R2,RBL2,1
RD3,RNF185,1
SIPA1L3,UBQLN3,1
SLC36A1,TSSK1B,1
SPEM1,ZKSCAN4,1
SPEM1,ZNF324B,1
SPEM1,ZNF524,1
STAT3,TRPC7,1
TMEM63B,TSSK1B,1
CHEK1,MTOR,1
CHEK1,WEE1,1
CHEK1,UBC,1
MAP2K1,MTOR,1
MTOR,WEE1,1
MTOR,UBC,1
MAPK1,MAPK3,1
CHEK1,MAP2K1,1
MAPK1,MTOR,1
BRCA2,MAPK1,1
MAP2K1,WEE1,1
MAPK1,WEE1,1
BRCA2,MTOR,1
BRCA2,WEE1,1
AKT2,MTOR,1
BRCA1,MAPK1,1
MAPK1,UBC,1
CHEK1,MAPK1,1
BRCA1,BRCA2,1
ADH7,LAS1L,1
MEP1A,TUBGCP2,1
ACTG1,DSPP,1
DDOST,TPH2,1
LUC7L3,TRPC7,1
ECD,FMR1NB,1
AKT2,NDST4,1
ARCN1,PDILT,1
PPP3R2,RBL2,1
SLC36A1,TSSK1B,1
DPAGT1,GFRAL,1
NUP133,TKTL2,1
AGAP9,BPIFB6,1
GABRA1,YIPF1,1
ERCC2,PRSS37,1
CDH1,OPN5,1
STAT3,TRPC7,1
BMP15,DGCR6L,1
DHX8,TPH2,1
CBX5,RNF17,1
FMR1NB,NACC1,1
HMG20B,MEP1A,1
BMP15,TBC1D17,1
CST9,ZNF286B,1
BMP15,CCT7,1
OSBPL7,RNF17,1
CXorf66,GIT2,1
BMP15,IRF2BPL,1
CCNYL1,DGAT2L6,1
CST9,EZR,1
F13B,IMP3,1
SPEM1,ZNF324B,1
LATS2,NDST4,1
CYTH3,NDST4,1
DCUN1D1,SLC13A1,1
BCR,GABRA1,1
CHUK,DGAT2L6,1
NDST4,TMEM14A,1
ATF7,NDST4,1
NT5DC3,OPN5,1
ACVR2B,BMP15,1
DGAT2L6,RSBN1L,1
CLRN1,TSPYL4,1
NLN,SERPINB12,1
CSNK1D,CSNK1E,1
CPEB4,OPN5,1
PIP5K1C,RXFP3,1
NDST4,TESK1,1
FGFR1OP2,PNPLA5,1
CDX4,CYTH1,1
GSK3A,GSK3B,1
G3BP1,GLRA2,1
SPEM1,ZNF524,1
ASAP1,GABRA1,1
SPEM1,ZKSCAN4,1
OPN5,SLC41A3,1
RD3,RNF185,1
CSNK1G1,SLC36A3,1
SIPA1L3,UBQLN3,1
NELFB,PPP3R2,1
CDX4,NAP1L1,1
ANKRA2,SPEM1,1
DGAT2L6,TST,1
KLK12,TTC30A,1
DGAT2L6,NT5DC2,1
HDAC1,HDAC2,1
DPF1,MEP1A,1
TMEM63B,TSSK1B,1
ACAP3,KLK12,1
NDST4,RPS5,1
CYTH2,PDILT,1
ACVR2A,PLA2G2F,1
GPR50,TONSL,1
BMP15,PPARD,1
BMP15,CDC42BPB,1
LRBA,RD3,1
PPP3CA,SERPINB12,1
KLK12,TMEM14B,1
CDX4,MAP2K1,1
PLA2G2F,ZNF600,1
DGAT2L6,MFAP3,1
NDFIP1,SPEM1,1
GLRA2,MEF2A,1
ROCK2,RS1,1
F13B,RHOG,1
ABL2,GSX2,1
OAZ1,SLC13A1,1
ANXA7,KLK12,1
RAX,SLC4A3,1
SAP30L,TRPC7,1
KYAT1,NDST4,1
CXorf66,PLEKHF2,1
ADH7,MFSD14A,1
CST9,CYB5R1,1
DGAT2L6,RNF185,1
GANAB,KLK12,1
MAFG,MAFK,1
C8B,P3H4,1
ANXA7,RNF17,1
SPEM1,USP15,1
LMAN2,TRPC7,1
AP2A1,AP2A2,1
DGAT2L6,ZNF268,1
CDH1,F13B,1
CHKA,GABRA1,1
EHD4,HTR5A,1
PLEKHF2,SLC13A1,1
NR1D2,UBQLN3,1
RS1,TNKS,1
