symbol,General_Term
PIK3C2A,Transferase
PIK3C2B,Transferase
PIK3C2G,Transferase
PIK3C3,Transferase
PIK3CA,Transferase
PIK3CB,Transferase
PIK3CD,Transferase
PIK3CG,Transferase
PI4KA,Transferase
PI4KB,Transferase
POLRMT,Transferase
POLN,Transferase
POLQ,Transferase
SHPK,Transferase
GK5,Transferase
GK,Transferase
GK2,Transferase
XYLB,Transferase
PRPS1L1,Transferase
PRPS1,Transferase
PRPS2,Transferase
PRPSAP1,Transferase
PRPSAP2,Transferase
MGST2,Transferase
MGST3,Transferase
ALOX5AP,Transferase
LTC4S,Transferase
SEPHS2,Transferase
SEPHS1,Transferase
POLG,Transferase
NMRK2,Transferase
UCKL1,Transferase
NMRK1,Transferase
UCK2,Transferase
UCK1,Transferase
DHDDS,Transferase
TCP10L,Transferase
TCP10L2,Transferase
CENPJ,Transferase
TCP10,Transferase
FBL,Transferase
CMPK2,Transferase
DTYMK,Transferase
DUSP11,Transferase
RNGTT,Transferase
SOAT1,Transferase
SOAT2,Transferase
DGAT1,Transferase
CEPT1,Transferase
CHPT1,Transferase
SELENOI,Transferase
POLD2,Transferase
GALK1,Transferase
GALK2,Transferase
A3GALT2,Transferase
GBGT1,Transferase
ABO,Transferase
GLT6D1,Transferase
COMTD1,Transferase
DCK,Transferase
DGUOK,Transferase
NDUFA10,Transferase
TK2,Transferase
TYMP,Transferase
GART,Transferase
PDXK,Transferase
POLR2E,Transferase
AGL,Transferase
DPAGT1,Transferase
KAT5,Transferase
KAT7,Transferase
KAT6B,Transferase
RSF1,Transferase
PHF10,Transferase
DPF2,Transferase
KAT6A,Transferase
DPF3,Transferase
DPF1,Transferase
KAT8,Transferase
NCOA2,Transferase
NCOA3,Transferase
NCOA1,Transferase
SCAMP2,Transferase
SCAMP3,Transferase
SCAMP4,Transferase
SCAMP5,Transferase
SCAMP1,Transferase
COASY,Transferase
DAD1,Transferase
PAOX,Transferase
KDM1B,Transferase
KDM1A,Transferase
IL4I1,Transferase
SMOX,Transferase
B3GLCT,Transferase
LFNG,Transferase
MFNG,Transferase
RFNG,Transferase
DDOST,Transferase
PNMT,Transferase
NNMT,Transferase
INMT,Transferase
DPH5,Transferase
B3GAT2,Transferase
B3GAT3,Transferase
B3GAT1,Transferase
ACOX1,Transferase
ACOXL,Transferase
ACOX2,Transferase
ACOX3,Transferase
POLR2H,Transferase
GFPT2,Transferase
GFPT1,Transferase
STK35,Transferase
PDIK1L,Transferase
EIF2AK1,Transferase
EIF2AK4,Transferase
WEE2,Transferase
EIF2AK2,Transferase
WEE1,Transferase
PKMYT1,Transferase
EIF2AK3,Transferase
PAPSS2,Transferase
PAPSS1,Transferase
EXT2,Transferase
EXTL1,Transferase
EXT1,Transferase
ALDH18A1,Transferase
TRIT1,Transferase
NAPRT,Transferase
FNTA,Transferase
PTAR1,Transferase
RABGGTA,Transferase
ELP3,Transferase
MTFMT,Transferase
SMG1,Transferase
MTOR,Transferase
ATM,Transferase
ATR,Transferase
PRKDC,Transferase
TRRAP,Transferase
ELOVL2,Transferase
ELOVL5,Transferase
ELOVL1,Transferase
ELOVL4,Transferase
ELOVL6,Transferase
ELOVL7,Transferase
ELOVL3,Transferase
GYG2,Transferase
GYG1,Transferase
B3GNT4,Transferase
B3GALNT1,Transferase
B3GALT4,Transferase
B3GALT2,Transferase
B3GALT1,Transferase
B3GNT5,Transferase
B3GALNT2,Transferase
B3GNT3,Transferase
B3GNT6,Transferase
B3GNT2,Transferase
B3GALT5,Transferase
B3GNT8,Transferase
B3GNT9,Transferase
B3GNT7,Transferase
UGGT2,Transferase
UGGT1,Transferase
PNPT1,Transferase
DGKK,Transferase
DGKA,Transferase
DGKB,Transferase
DGKG,Transferase
DGKH,Transferase
DGKQ,Transferase
DGKZ,Transferase
DGKE,Transferase
DGKD,Transferase
DGKI,Transferase
OAS1,Transferase
OASL,Transferase
OAS2,Transferase
OAS3,Transferase
METTL15,Transferase
MPST,Transferase
TST,Transferase
NMT1,Transferase
NMT2,Transferase
CPS1,Transferase
CAD,Transferase
PGK1,Transferase
PGK2,Transferase
PLA2G15,Transferase
LCAT,Transferase
TK1,Transferase
PYGM,Transferase
PYGL,Transferase
PYGB,Transferase
FDPS,Transferase
CKMT2,Transferase
CKB,Transferase
CKMT1B,Transferase
CKMT1A,Transferase
CKM,Transferase
TYMS,Transferase
SRM,Transferase
PCMTD1,Transferase
PCMT1,Transferase
PCMTD2,Transferase
TGM3,Transferase
TGM5,Transferase
TGM7,Transferase
F13A1,Transferase
EPB42,Transferase
TGM1,Transferase
TGM6,Transferase
TGM2,Transferase
TGM4,Transferase
RFC2,Transferase
RFC3,Transferase
RFC4,Transferase
RFC5,Transferase
GALNT11,Transferase
GALNT1,Transferase
GALNT7,Transferase
GALNT5,Transferase
GALNTL5,Transferase
GALNT12,Transferase
GALNT9,Transferase
GALNT16,Transferase
GALNT3,Transferase
GALNT15,Transferase
GALNT18,Transferase
GALNT17,Transferase
GALNTL6,Transferase
GALNT10,Transferase
GALNT13,Transferase
GALNT2,Transferase
GALNT8,Transferase
GALNT6,Transferase
POC1B-GALNT4,Transferase
GALNT4,Transferase
GALNT14,Transferase
SHMT1,Transferase
SHMT2,Transferase
GGT5,Transferase
GGT7,Transferase
GGT1,Transferase
ATIC,Transferase
DIMT1,Transferase
TFB1M,Transferase
TFB2M,Transferase
CS,Transferase
GPT,Transferase
GPT2,Transferase
RABGGTB,Transferase
PGGT1B,Transferase
CHURC1-FNTB,Transferase
FNTB,Transferase
NAT2,Transferase
NAT1,Transferase
CHM,Transferase
CHML,Transferase
GDI1,Transferase
GDI2,Transferase
BCAT1,Transferase
BCAT2,Transferase
QRSL1,Transferase
PNP,Transferase
PPAT,Transferase
TPTEP2-CSNK1E,Transferase
CSNK1A1L,Transferase
CSNK1A1,Transferase
CSNK1D,Transferase
CSNK1E,Transferase
CSNK1G2,Transferase
CSNK1G3,Transferase
TTBK2,Transferase
VRK3,Transferase
CSNK1G1,Transferase
VRK1,Transferase
VRK2,Transferase
CDC7,Transferase
TTBK1,Transferase
GMPS,Transferase
FUT1,Transferase
FUT2,Transferase
FUT9,Transferase
FUT6,Transferase
FUT7,Transferase
FUT10,Transferase
FUT4,Transferase
FUT3,Transferase
FUT11,Transferase
FUT5,Transferase
TRMU,Transferase
ECI1,Transferase
ECHS1,Transferase
AUH,Transferase
ECHDC2,Transferase
ECHDC1,Transferase
GALT,Transferase
BCKDK,Transferase
PDK1,Transferase
PDK2,Transferase
PDK3,Transferase
PDK4,Transferase
EXOSC6,Transferase
EXOSC4,Transferase
EXOSC5,Transferase
MAT1A,Transferase
MAT2A,Transferase
OAT,Transferase
PIGK,Transferase
NMNAT2,Transferase
NMNAT3,Transferase
NMNAT1,Transferase
HAT1,Transferase
POLR2K,Transferase
CEACAM7,Transferase
SLAMF6,Transferase
HEPACAM,Transferase
VSTM5,Transferase
LY9,Transferase
CD244,Transferase
SLAMF8,Transferase
SLAMF7,Transferase
SLAMF1,Transferase
CD84,Transferase
SLAMF9,Transferase
CEACAM21,Transferase
CD2,Transferase
CD48,Transferase
TRMT61A,Transferase
CHST14,Transferase
CHST13,Transferase
CHST11,Transferase
CHST12,Transferase
CHST8,Transferase
CHST9,Transferase
CHST10,Transferase
RNMT,Transferase
AASDHPPT,Transferase
MGAT3,Transferase
GLYCTK,Transferase
FTCD,Transferase
GIPC3,Transferase
GIPC2,Transferase
GIPC1,Transferase
LARGE2,Transferase
LARGE1,Transferase
TUT1,Transferase
MTPAP,Transferase
TUT7,Transferase
TUT4,Transferase
QPCTL,Transferase
QPCT,Transferase
MOGAT1,Transferase
AWAT1,Transferase
AWAT2,Transferase
MOGAT3,Transferase
DGAT2L6,Transferase
MOGAT2,Transferase
DGAT2,Transferase
CHSY1,Transferase
B4GALNT3,Transferase
CHSY3,Transferase
B4GALNT4,Transferase
CHPF2,Transferase
CSGALNACT2,Transferase
CSGALNACT1,Transferase
CHPF,Transferase
ITPKC,Transferase
ITPKB,Transferase
IP6K3,Transferase
IP6K2,Transferase
ITPKA,Transferase
IP6K1,Transferase
IPMK,Transferase
PNPLA3,Transferase
PNPLA1,Transferase
PNPLA2,Transferase
PNPLA5,Transferase
ALG6,Transferase
ALG8,Transferase
RRNAD1,Transferase
METTL25,Transferase
TAZ,Transferase
LIPT1,Transferase
PRKCSH,Transferase
GNPTG,Transferase
RPN2,Transferase
ALG3,Transferase
TRPT1,Transferase
TUSC3,Transferase
MAGT1,Transferase
POLR3H,Transferase
TWISTNB,Transferase
POLR2G,Transferase
UGCG,Transferase
BUD23,Transferase
METTL11B,Transferase
NTMT1,Transferase
POLR3F,Transferase
TPST1,Transferase
TPST2,Transferase
HS6ST3,Transferase
HS6ST2,Transferase
HS6ST1,Transferase
METTL3,Transferase
EEF1AKMT2,Transferase
PI4K2B,Transferase
PI4K2A,Transferase
MGAT2,Transferase
PIGM,Transferase
PIGC,Transferase
ALG1L,Transferase
ALG1,Transferase
ALG1L2,Transferase
HHAT,Transferase
HHATL,Transferase
METTL16,Transferase
POFUT2,Transferase
TRMT10B,Transferase
TRMT10C,Transferase
SPTLC1,Transferase
ALAS1,Transferase
ALAS2,Transferase
GCAT,Transferase
SPTLC3,Transferase
SPTLC2,Transferase
PFKL,Transferase
PFKM,Transferase
PFKP,Transferase
OXCT1,Transferase
OXCT2,Transferase
CREBBP,Transferase
EP300,Transferase
STT3B,Transferase
STT3A,Transferase
TAF1L,Transferase
TAF1,Transferase
WNK2,Transferase
WNK4,Transferase
WNK1,Transferase
WNK3,Transferase
NRBP1,Transferase
